pid,survived,pclass,name,sex,age,sisp,pach,prefix,ticket,fare,cabin,port
1,0,3,1,0,3,1,0,14,21171,0,0,1
2,1,1,5,1,6,1,0,20,17599,7,3,2
3,1,3,4,1,4,0,0,18,3101282,0,0,1
4,1,1,5,1,5,1,0,0,113803,5,3,1
5,0,3,1,0,5,0,0,0,373450,0,0,1
6,0,3,1,0,7,0,0,0,330877,0,0,3
7,0,1,1,0,6,0,0,0,17463,5,5,1
8,0,3,3,0,0,3,1,0,349909,2,0,1
9,1,3,5,1,4,0,2,0,347742,1,0,1
10,1,2,5,1,2,1,0,0,237736,3,0,2
11,1,3,4,1,0,1,1,29,9549,1,7,1
12,1,1,4,1,6,0,0,0,113783,2,3,1
13,0,3,1,0,3,0,0,14,2151,0,0,1
14,0,3,1,0,6,1,5,0,347082,3,0,1
15,0,3,4,1,2,0,0,0,350406,0,0,1
16,1,2,5,1,6,0,0,0,248706,1,0,1
17,0,3,3,0,0,4,1,0,382652,2,0,3
18,1,2,1,0,7,0,0,0,244373,1,0,1
19,0,3,5,1,5,1,0,0,345763,1,0,1
20,1,3,5,1,7,0,0,0,2649,0,0,2
21,0,2,1,0,5,0,0,0,239865,2,0,1
22,1,2,1,0,5,0,0,0,248698,1,4,1
23,1,3,4,1,2,0,0,0,330923,0,0,3
24,1,1,1,0,5,0,0,0,113788,3,1,1
25,0,3,4,1,1,3,1,0,349909,2,0,1
26,1,3,5,1,6,1,5,0,347077,3,0,1
27,0,3,1,0,7,0,0,0,2631,0,0,2
28,0,1,1,0,3,3,2,0,19950,9,3,1
29,1,3,4,1,7,0,0,0,330959,0,0,3
30,0,3,1,0,7,0,0,0,349216,0,0,1
31,0,1,2,0,6,0,0,20,17601,2,0,2
32,1,1,5,1,7,1,0,20,17569,9,2,2
33,1,3,4,1,7,0,0,0,335677,0,0,3
34,0,2,1,0,6,0,0,12,24579,1,0,1
35,0,1,1,0,5,1,0,20,17604,8,0,2
36,0,1,1,0,6,1,0,0,113789,5,0,1
37,1,3,1,0,7,0,0,0,2677,0,0,2
38,0,3,1,0,3,0,0,14,2152,0,0,1
39,0,3,4,1,3,2,0,0,345764,1,0,1
40,1,3,4,1,2,1,0,0,2651,1,0,2
41,0,3,5,1,6,1,0,0,7546,0,0,1
42,0,2,5,1,4,1,0,0,11668,2,0,1
43,0,3,1,0,7,0,0,0,349253,0,0,2
44,1,2,4,1,0,1,2,1,2123,4,0,2
45,1,3,4,1,3,0,0,0,330958,0,0,3
46,0,3,1,0,7,0,0,21,23567,0,0,1
47,0,3,1,0,7,1,0,0,370371,1,0,3
48,1,3,4,1,7,0,0,0,14311,0,0,3
49,0,3,1,0,7,2,0,0,2662,2,0,2
50,0,3,5,1,3,1,0,0,349237,1,0,1
51,0,3,3,0,1,4,1,0,3101295,3,0,1
52,0,3,1,0,3,0,0,30,39886,0,0,1
53,1,1,5,1,6,1,0,20,17572,7,4,2
54,1,2,5,1,5,1,0,0,2926,2,0,1
55,0,1,1,0,6,0,1,0,113509,6,2,2
56,1,1,1,0,7,0,0,0,19947,3,3,1
57,1,2,4,1,3,0,0,12,31026,1,0,1
58,0,3,1,0,5,0,0,0,2697,0,0,2
59,1,2,4,1,0,1,2,12,34651,2,0,1
60,0,3,3,0,1,5,2,12,2144,4,0,1
61,0,3,1,0,3,0,0,0,2669,0,0,2
62,1,1,4,1,6,0,0,0,113572,8,2,0
63,0,1,1,0,6,1,0,0,36973,8,3,1
64,0,3,3,0,0,3,2,0,347088,2,0,1
65,0,1,1,0,7,0,0,20,17605,2,0,2
66,1,3,3,0,7,1,1,0,2661,1,0,2
67,1,2,5,1,5,0,0,12,29395,1,6,1
68,0,3,1,0,3,0,0,13,3464,0,0,1
69,1,3,4,1,2,4,2,0,3101281,0,0,1
70,0,3,1,0,4,2,0,0,315151,0,0,1
71,0,2,1,0,5,0,0,12,33111,1,0,1
72,0,3,4,1,2,5,2,12,2144,4,0,1
73,0,2,1,0,3,0,0,15,14879,7,0,1
74,0,3,1,0,4,1,0,0,2680,1,0,2
75,1,3,1,0,5,0,0,0,1601,5,0,1
76,0,3,1,0,4,0,0,0,348123,0,6,1
77,0,3,1,0,7,0,0,0,349208,0,0,1
78,0,3,1,0,7,0,0,0,374746,0,0,1
79,1,2,3,0,0,0,2,0,248738,2,0,1
80,1,3,4,1,5,0,0,0,364516,1,0,1
81,0,3,1,0,3,0,0,0,345767,0,0,1
82,1,3,1,0,5,0,0,0,345779,0,0,1
83,1,3,4,1,7,0,0,0,330932,0,0,3
84,0,1,1,0,5,0,0,0,113059,4,0,1
85,1,2,4,1,2,0,0,15,14885,1,0,1
86,1,3,5,1,5,3,0,0,3101278,1,0,1
87,0,3,1,0,2,1,3,27,6608,3,0,1
88,0,3,1,0,7,0,0,32,392086,0,0,1
89,1,1,4,1,3,3,2,0,19950,9,3,1
90,0,3,1,0,4,0,0,0,343275,0,0,1
91,0,3,1,0,5,0,0,0,343276,0,0,1
92,0,3,1,0,3,0,0,0,347466,0,0,1
93,0,1,1,0,6,1,0,33,5734,6,5,1
94,0,3,1,0,4,1,2,12,2315,2,0,1
95,0,3,1,0,6,0,0,0,364500,0,0,1
96,0,3,1,0,7,0,0,0,374910,0,0,1
97,0,1,1,0,6,0,0,20,17754,3,1,2
98,1,1,1,0,3,0,1,20,17759,6,4,2
99,1,2,5,1,5,0,1,0,231919,2,0,1
100,0,2,1,0,5,1,0,0,244367,2,0,1
101,0,3,4,1,5,0,0,0,349245,0,0,1
102,0,3,1,0,7,0,0,0,349215,0,0,1
103,0,1,1,0,3,0,1,0,35281,7,4,1
104,0,3,1,0,5,0,0,0,7540,0,0,1
