pid,survived,pclass,honor,origin,sex,age,sisp,pach,ticket,fare,cabin,port
1,0,0,1,0,0,7,1,0,5,0,0,1
2,1,1,5,0,1,11,1,0,5,4,1,2
3,1,0,4,4,1,8,0,0,7,0,0,1
4,1,1,5,1,1,11,1,0,6,4,1,1
5,0,0,1,0,0,11,0,0,6,0,0,1
6,0,0,1,0,0,14,0,0,6,0,0,0
7,0,1,1,0,0,13,0,0,5,4,1,1
8,0,0,3,2,0,0,3,1,6,2,0,1
9,1,0,5,0,1,9,0,1,6,1,0,1
10,1,2,5,0,1,4,1,0,6,3,0,2
11,1,0,4,1,1,1,1,1,4,1,1,1
12,1,1,4,0,1,13,0,0,6,2,1,1
13,0,0,1,0,0,6,0,0,4,0,0,1
14,0,0,1,2,0,11,1,1,6,3,0,1
15,0,0,4,2,1,4,0,0,6,0,0,1
16,1,2,5,0,1,13,0,0,6,1,0,1
17,0,0,3,0,0,0,3,1,6,2,0,0
18,1,2,1,0,0,14,0,0,6,1,0,1
19,0,0,5,1,1,10,1,0,6,1,0,1
20,1,0,5,4,1,14,0,0,4,0,0,2
21,0,2,1,0,0,11,0,0,6,2,0,1
22,1,2,1,0,0,10,0,0,6,1,1,1
23,1,0,4,0,1,5,0,0,6,0,0,0
24,1,1,1,0,0,9,0,0,6,3,1,1
25,0,0,4,2,1,2,3,1,6,2,0,1
26,1,0,5,3,1,11,1,1,6,3,0,1
27,0,0,1,5,0,14,0,0,4,0,0,2
28,0,1,1,0,0,6,3,1,5,5,1,1
29,1,0,4,0,1,14,0,0,6,0,0,0
30,0,0,1,5,0,14,0,0,6,0,0,1
31,0,1,2,1,0,12,0,0,5,2,0,2
32,1,1,5,0,1,14,1,0,5,5,1,2
33,1,0,4,0,1,14,0,0,6,0,0,0
34,0,2,1,0,0,13,0,0,5,1,0,1
35,0,1,1,0,0,9,1,0,5,5,0,2
36,0,1,1,0,0,12,1,0,6,4,0,1
37,1,0,1,2,0,14,0,0,4,0,0,2
38,0,0,1,0,0,7,0,0,4,0,0,1
39,0,0,4,3,1,6,2,0,6,1,0,1
40,1,0,4,4,1,4,1,0,4,1,0,2
41,0,0,5,2,1,12,1,0,4,0,0,1
42,0,2,5,0,1,9,1,0,5,2,0,1
43,0,0,1,3,0,14,0,0,6,0,0,2
44,1,2,4,1,1,1,1,1,4,3,0,2
45,1,0,4,0,1,6,0,0,6,0,0,0
46,0,0,1,0,0,14,0,0,5,0,0,1
47,0,0,1,1,0,14,1,0,6,1,0,0
48,1,0,4,0,1,14,0,0,5,0,0,0
49,0,0,1,4,0,14,2,0,4,2,0,2
50,0,0,5,3,1,6,1,0,6,1,0,1
51,0,0,3,2,0,2,3,1,7,3,0,1
52,0,0,1,0,0,7,0,0,5,0,0,1
53,1,1,5,0,1,12,1,0,5,4,1,2
54,1,2,5,0,1,9,1,0,4,2,0,1
55,0,1,1,5,0,13,0,1,6,4,1,2
56,1,1,1,0,0,14,0,0,5,3,1,1
57,1,2,4,0,1,7,0,0,5,1,0,1
58,0,0,1,5,0,9,0,0,4,0,0,2
59,1,2,4,0,1,1,1,1,5,2,0,1
60,0,0,3,0,0,3,3,1,4,3,0,1
61,0,0,1,5,0,7,0,0,4,0,0,2
62,1,1,4,3,1,11,0,0,6,5,1,3
63,0,1,1,0,0,12,1,0,5,5,1,1
64,0,0,3,2,0,1,3,1,6,2,0,1
65,0,1,1,0,0,14,0,0,5,2,0,2
66,1,0,3,5,0,14,1,1,4,1,0,2
67,1,2,5,0,1,9,0,0,5,1,1,1
68,0,0,1,0,0,6,0,0,4,0,0,1
69,1,0,4,3,1,5,3,1,7,0,0,1
70,0,0,1,5,0,8,2,0,6,0,0,1
71,0,2,1,0,0,10,0,0,5,1,0,1
72,0,0,4,0,1,5,3,1,4,3,0,1
73,0,2,1,0,0,7,0,0,5,4,0,1
74,0,0,1,4,0,8,1,0,4,1,0,2
75,1,0,1,0,0,10,0,0,4,4,0,1
76,0,0,1,2,0,8,0,0,6,0,1,1
77,0,0,1,4,0,14,0,0,6,0,0,1
78,0,0,1,5,0,14,0,0,6,0,0,1
79,1,2,3,0,0,0,0,1,6,2,0,1
80,1,0,4,0,1,10,0,0,6,1,0,1
81,0,0,1,1,0,7,0,0,6,0,0,1
82,1,0,1,3,0,9,0,0,6,0,0,1
83,1,0,4,5,1,14,0,0,6,0,0,0
84,0,1,1,1,0,9,0,0,6,3,0,1
