pid,survived,honor,sex,clare,age,fare,origin,cabin,alone
1,0,mr,male,1,26,9,eng,0,False
3,1,miss,female,1,32,9,other,0,True
5,0,mr,male,1,40,9,eng,0,True
6,0,mr,male,1,40,9,eng,0,True
13,0,mr,male,1,21,9,eng,0,True
15,0,miss,female,1,21,9,other,0,True
20,1,mrs,female,1,40,9,other,0,True
23,1,miss,female,1,21,9,eng,0,True
27,0,mr,male,1,40,9,other,0,True
29,1,miss,female,1,32,9,eng,0,True
30,0,mr,male,1,40,9,other,0,True
33,1,miss,female,1,32,9,eng,0,True
37,1,mr,male,1,40,9,other,0,True
38,0,mr,male,1,26,9,eng,0,True
43,0,mr,male,1,40,9,other,0,True
45,1,miss,female,1,21,9,eng,0,True
46,0,mr,male,1,40,9,eng,0,True
48,1,miss,female,1,32,9,eng,0,True
52,0,mr,male,1,26,9,eng,0,True
58,0,mr,male,1,32,9,other,0,True
61,0,mr,male,1,26,9,other,0,True
68,0,mr,male,1,21,9,eng,0,True
69,1,miss,female,1,21,9,other,0,False
70,0,mr,male,1,32,9,other,0,False
76,0,mr,male,1,26,9,other,1,True
77,0,mr,male,1,40,9,other,0,True
78,0,mr,male,1,40,9,other,0,True
83,1,miss,female,1,32,9,other,0,True
88,0,mr,male,1,40,9,other,0,True
90,0,mr,male,1,26,9,other,0,True
91,0,mr,male,1,32,9,other,0,True
92,0,mr,male,1,21,9,eng,0,True
95,0,mr,male,1,51,9,eng,0,True
96,0,mr,male,1,40,9,eng,0,True
101,0,miss,female,1,32,9,eng,0,True
102,0,mr,male,1,40,9,other,0,True
104,0,mr,male,1,40,9,other,0,True
105,0,mr,male,1,40,9,other,0,False
106,0,mr,male,1,32,9,other,0,True
107,1,miss,female,1,26,9,eng,0,True
108,1,mr,male,1,40,9,eng,0,True
109,0,mr,male,1,40,9,other,0,True
113,0,mr,male,1,26,9,eng,0,True
116,0,mr,male,1,26,9,other,0,True
117,0,mr,male,1,51,9,eng,0,True
122,0,mr,male,1,40,9,eng,0,True
127,0,mr,male,1,40,9,eng,0,True
128,1,mr,male,1,26,9,other,0,True
130,0,mr,male,1,50,9,other,0,True
131,0,mr,male,1,40,9,other,0,True
132,0,mr,male,1,21,9,other,0,True
142,1,miss,female,1,26,9,eng,0,True
144,0,mr,male,1,21,9,eng,0,True
147,1,mr,male,1,32,9,other,0,True
153,0,mr,male,1,51,9,eng,0,True
155,0,mr,male,1,40,9,other,0,True
157,1,miss,female,1,21,9,eng,0,True
158,0,mr,male,1,32,9,eng,0,True
159,0,mr,male,1,40,9,other,0,True
163,0,mr,male,1,32,9,eng,0,True
164,0,mr,male,1,21,9,other,0,True
174,0,mr,male,1,26,9,other,0,True
176,0,mr,male,1,21,9,other,0,False
180,0,mr,male,1,40,9,other,0,True
190,0,mr,male,1,40,9,other,0,True
193,1,miss,female,1,21,9,other,0,False
197,0,mr,male,1,40,9,eng,0,True
198,0,mr,male,1,50,9,other,0,False
199,1,miss,female,1,32,9,eng,0,True
203,0,mr,male,1,40,9,other,0,True
204,0,mr,male,1,50,9,other,0,True
205,1,mr,male,1,21,9,other,0,True
209,1,miss,female,1,21,9,eng,0,True
211,0,mr,male,1,26,9,other,0,True
213,0,mr,male,1,26,9,eng,0,True
215,0,mr,male,1,32,9,eng,0,False
217,1,miss,female,1,32,9,other,0,True
221,1,mr,male,1,21,9,eng,0,True
223,0,mr,male,1,51,9,eng,0,True
224,0,mr,male,1,40,9,other,0,True
228,0,mr,male,1,21,9,eng,0,True
232,0,mr,male,1,32,9,other,0,True
236,0,miss,female,1,32,9,eng,0,True
244,0,mr,male,1,26,9,other,0,True
245,0,mr,male,1,32,9,other,0,True
247,0,miss,female,1,26,9,other,0,True
251,0,mr,male,1,40,9,eng,0,True
261,0,mr,male,1,40,9,eng,0,True
264,0,mr,male,1,50,9,eng,1,True
265,0,miss,female,1,32,9,eng,0,True
268,1,mr,male,1,26,9,other,0,False
272,1,mr,male,1,26,9,eng,0,True
275,1,miss,female,1,32,9,eng,0,True
277,0,miss,female,1,50,9,other,0,True
278,0,mr,male,1,40,9,eng,0,True
281,0,mr,male,1,51,9,eng,0,True
282,0,mr,male,1,32,9,other,0,True
284,1,mr,male,1,21,9,eng,0,True
286,0,mr,male,1,40,9,other,0,True
288,0,mr,male,1,26,9,other,0,True
290,1,miss,female,1,26,9,eng,0,True
294,0,miss,female,1,26,9,other,0,True
