pid,survived,honor,sex,clare,age,fare,origin,cabin,alone,port,sisp,pach
1,0,mr,male,1,26,9,eng,0,False,S,1,0
3,1,miss,female,1,32,9,other,0,True,S,0,0
5,0,mr,male,1,40,9,eng,0,True,S,0,0
6,0,mr,male,1,40,9,eng,0,True,Q,0,0
13,0,mr,male,1,21,9,eng,0,True,S,0,0
15,0,miss,female,1,21,9,other,0,True,S,0,0
20,1,mrs,female,1,40,9,other,0,True,C,0,0
23,1,miss,female,1,21,9,eng,0,True,Q,0,0
27,0,mr,male,1,40,9,other,0,True,C,0,0
29,1,miss,female,1,32,9,eng,0,True,Q,0,0
30,0,mr,male,1,40,9,other,0,True,S,0,0
33,1,miss,female,1,32,9,eng,0,True,Q,0,0
37,1,mr,male,1,40,9,other,0,True,C,0,0
38,0,mr,male,1,26,9,eng,0,True,S,0,0
43,0,mr,male,1,40,9,other,0,True,C,0,0
45,1,miss,female,1,21,9,eng,0,True,Q,0,0
46,0,mr,male,1,40,9,eng,0,True,S,0,0
48,1,miss,female,1,32,9,eng,0,True,Q,0,0
52,0,mr,male,1,26,9,eng,0,True,S,0,0
58,0,mr,male,1,32,9,other,0,True,C,0,0
61,0,mr,male,1,26,9,other,0,True,C,0,0
68,0,mr,male,1,21,9,eng,0,True,S,0,0
69,1,miss,female,1,21,9,other,0,False,S,4,2
70,0,mr,male,1,32,9,other,0,False,S,2,0
76,0,mr,male,1,26,9,other,1,True,S,0,0
77,0,mr,male,1,40,9,other,0,True,S,0,0
78,0,mr,male,1,40,9,other,0,True,S,0,0
83,1,miss,female,1,32,9,other,0,True,Q,0,0
88,0,mr,male,1,40,9,other,0,True,S,0,0
90,0,mr,male,1,26,9,other,0,True,S,0,0
91,0,mr,male,1,32,9,other,0,True,S,0,0
92,0,mr,male,1,21,9,eng,0,True,S,0,0
95,0,mr,male,1,51,9,eng,0,True,S,0,0
96,0,mr,male,1,40,9,eng,0,True,S,0,0
101,0,miss,female,1,32,9,eng,0,True,S,0,0
102,0,mr,male,1,40,9,other,0,True,S,0,0
104,0,mr,male,1,40,9,other,0,True,S,0,0
105,0,mr,male,1,40,9,other,0,False,S,2,0
106,0,mr,male,1,32,9,other,0,True,S,0,0
107,1,miss,female,1,26,9,eng,0,True,S,0,0
108,1,mr,male,1,40,9,eng,0,True,S,0,0
109,0,mr,male,1,40,9,other,0,True,S,0,0
113,0,mr,male,1,26,9,eng,0,True,S,0,0
116,0,mr,male,1,26,9,other,0,True,S,0,0
117,0,mr,male,1,51,9,eng,0,True,Q,0,0
122,0,mr,male,1,40,9,eng,0,True,S,0,0
127,0,mr,male,1,40,9,eng,0,True,Q,0,0
128,1,mr,male,1,26,9,other,0,True,S,0,0
130,0,mr,male,1,50,9,other,0,True,S,0,0
131,0,mr,male,1,40,9,other,0,True,C,0,0
132,0,mr,male,1,21,9,other,0,True,S,0,0
142,1,miss,female,1,26,9,eng,0,True,S,0,0
144,0,mr,male,1,21,9,eng,0,True,Q,0,0
147,1,mr,male,1,32,9,other,0,True,S,0,0
153,0,mr,male,1,51,9,eng,0,True,S,0,0
155,0,mr,male,1,40,9,other,0,True,S,0,0
157,1,miss,female,1,21,9,eng,0,True,Q,0,0
158,0,mr,male,1,32,9,eng,0,True,S,0,0
159,0,mr,male,1,40,9,other,0,True,S,0,0
163,0,mr,male,1,32,9,eng,0,True,S,0,0
164,0,mr,male,1,21,9,other,0,True,S,0,0
174,0,mr,male,1,26,9,other,0,True,S,0,0
176,0,mr,male,1,21,9,other,0,False,S,1,1
180,0,mr,male,1,40,9,other,0,True,S,0,0
190,0,mr,male,1,40,9,other,0,True,S,0,0
193,1,miss,female,1,21,9,other,0,False,S,1,0
197,0,mr,male,1,40,9,eng,0,True,Q,0,0
198,0,mr,male,1,50,9,other,0,False,S,0,1
199,1,miss,female,1,32,9,eng,0,True,Q,0,0
203,0,mr,male,1,40,9,other,0,True,S,0,0
204,0,mr,male,1,50,9,other,0,True,C,0,0
205,1,mr,male,1,21,9,other,0,True,S,0,0
209,1,miss,female,1,21,9,eng,0,True,Q,0,0
211,0,mr,male,1,26,9,other,0,True,S,0,0
213,0,mr,male,1,26,9,eng,0,True,S,0,0
215,0,mr,male,1,32,9,eng,0,False,Q,1,0
217,1,miss,female,1,32,9,other,0,True,S,0,0
221,1,mr,male,1,21,9,eng,0,True,S,0,0
223,0,mr,male,1,51,9,eng,0,True,S,0,0
224,0,mr,male,1,40,9,other,0,True,S,0,0
228,0,mr,male,1,21,9,eng,0,True,S,0,0
232,0,mr,male,1,32,9,other,0,True,S,0,0
236,0,miss,female,1,32,9,eng,0,True,S,0,0
244,0,mr,male,1,26,9,other,0,True,S,0,0
245,0,mr,male,1,32,9,other,0,True,C,0,0
247,0,miss,female,1,26,9,other,0,True,S,0,0
251,0,mr,male,1,40,9,eng,0,True,S,0,0
261,0,mr,male,1,40,9,eng,0,True,Q,0,0
264,0,mr,male,1,50,9,eng,1,True,S,0,0
265,0,miss,female,1,32,9,eng,0,True,Q,0,0
268,1,mr,male,1,26,9,other,0,False,S,1,0
272,1,mr,male,1,26,9,eng,0,True,S,0,0
275,1,miss,female,1,32,9,eng,0,True,Q,0,0
277,0,miss,female,1,50,9,other,0,True,S,0,0
278,0,mr,male,1,40,9,eng,0,True,S,0,0
281,0,mr,male,1,51,9,eng,0,True,Q,0,0
282,0,mr,male,1,32,9,other,0,True,S,0,0
284,1,mr,male,1,21,9,eng,0,True,S,0,0
286,0,mr,male,1,40,9,other,0,True,C,0,0
288,0,mr,male,1,26,9,other,0,True,S,0,0
290,1,miss,female,1,26,9,eng,0,True,Q,0,0
294,0,miss,female,1,26,9,other,0,True,S,0,0
295,0,mr,male,1,26,9,other,0,True,S,0,0
297,0,mr,male,1,26,9,other,0,True,C,0,0
301,1,miss,female,1,32,9,eng,0,True,Q,0,0
303,0,mr,male,1,21,9,eng,0,True,S,0,0
305,0,mr,male,1,40,9,eng,0,True,S,0,0
314,0,mr,male,1,32,9,other,0,True,S,0,0
316,1,miss,female,1,32,9,other,0,True,S,0,0
321,0,mr,male,1,26,9,eng,0,True,S,0,0
322,0,mr,male,1,32,9,other,0,True,S,0,0
327,0,mr,male,1,51,9,other,0,True,S,0,0
336,0,mr,male,1,40,9,other,0,True,S,0,0
339,1,mr,male,1,50,9,other,0,True,S,0,0
350,0,mr,male,1,50,9,other,0,True,S,0,0
353,0,mr,male,1,21,9,other,0,False,C,1,1
355,0,mr,male,1,40,9,other,0,True,C,0,0
359,1,miss,female,1,32,9,eng,0,True,Q,0,0
360,1,miss,female,1,32,9,eng,0,True,Q,0,0
364,0,mr,male,1,40,9,other,0,True,S,0,0
366,0,mr,male,1,32,9,other,0,True,S,0,0
368,1,mrs,female,1,40,9,other,0,True,C,0,0
369,1,miss,female,1,32,9,eng,0,True,Q,0,0
372,0,mr,male,1,21,9,other,0,False,S,1,0
373,0,mr,male,1,21,9,eng,0,True,S,0,0
377,1,miss,female,1,26,9,other,0,True,S,0,0
379,0,mr,male,1,21,9,other,0,True,C,0,0
380,0,mr,male,1,21,9,other,0,True,S,0,0
383,0,mr,male,1,40,9,other,0,True,S,0,0
385,0,mr,male,1,40,9,other,0,True,S,0,0
389,0,mr,male,1,40,9,eng,0,True,Q,0,0
392,1,mr,male,1,26,9,other,0,True,S,0,0
393,0,mr,male,1,32,9,other,0,False,S,2,0
396,0,mr,male,1,26,9,other,0,True,S,0,0
397,0,miss,female,1,32,9,other,0,True,S,0,0
401,1,mr,male,1,40,9,other,0,True,S,0,0
402,0,mr,male,1,32,9,eng,0,True,S,0,0
405,0,miss,female,1,21,9,other,0,True,S,0,0
407,0,mr,male,1,51,9,other,0,True,S,0,0
409,0,mr,male,1,26,9,other,0,True,S,0,0
411,0,mr,male,1,40,9,other,0,True,S,0,0
412,0,mr,male,1,40,9,eng,0,True,Q,0,0
414,0,mr,male,1,40,9,eng,0,True,S,0,0
415,1,mr,male,1,50,9,other,0,True,S,0,0
416,0,mrs,female,1,40,9,eng,0,True,S,0,0
421,0,mr,male,1,40,9,other,0,True,C,0,0
422,0,mr,male,1,26,9,eng,0,True,Q,0,0
423,0,mr,male,1,32,9,other,0,True,S,0,0
426,0,mr,male,1,40,9,other,0,True,S,0,0
429,0,mr,male,1,40,9,eng,0,True,Q,0,0
430,1,mr,male,1,40,9,other,1,True,S,0,0
434,0,mr,male,1,21,9,other,0,True,S,0,0
443,0,mr,male,1,26,9,other,0,False,S,1,0
445,1,mr,male,1,40,9,other,0,True,S,0,0
